,logFC,pvalue,padj
FBXL7,0.020979678,0.011189473,0.0193925
N4BP3,-0.031351381,0.013175273,0.022468065
POLR2M,0.018539189,0.141912524,0.190180279
MRPS28,0.11587446,1.23E-14,1.81E-13
SAMD11,-0.172051396,3.08E-19,9.18E-18
PLEKHB2,-0.021413031,0.009653152,0.017006963
NOTCH1,-0.184238587,1.60E-22,7.22E-21
TOM1L2,0.020699682,0.078093654,0.111086279
TGIF1,0.036508393,9.34E-06,2.95E-05
ATPSCKMT,0.017366579,0.131992363,0.178416279
PHLPP1,0.009278312,0.44218225,0.507671929
GOLIM4,0.001597208,0.898560181,0.919113164
DDAH1,-0.054135491,0.00040291,0.00092922
YARS,-0.080259022,5.38E-16,1.04E-14
UBAP2,-0.033645209,0.008998068,0.015959681
SENP1,-0.037917935,1.37E-05,4.15E-05
C7orf50,0.112210094,9.42E-08,4.29E-07
NHLRC2,-0.002237358,0.8527325,0.882015412
HDAC10,0.015930862,0.599504651,0.656919407
CSAD,-0.031972471,0.044593038,0.066816059
TTLL5,-0.045053256,2.97E-05,8.50E-05
OSCP1,0.09911207,1.38E-09,8.54E-09
FRAT1,0.022520371,0.22591127,0.285313551
KDM5B,-0.031246836,8.46E-05,0.000222891
ARHGEF9,-0.078871877,1.95E-14,2.77E-13
WARS2-AS1,-0.013153997,0.506323748,0.568561633
ZNF175,0.009453985,0.496137263,0.558587326
ANO1,0.026760159,0.135631848,0.182644557
ECD,-0.008139607,0.406333653,0.472151583
EIF4E,0.031433878,0.008030504,0.014396744
PSMB3,0.13204161,1.99E-07,8.53E-07
ACOT2,0.026722959,0.002419524,0.004852635
ZNF844,0.116586083,1.35E-14,1.96E-13
EVC2,-0.081980178,6.30E-11,4.90E-10
TRUB1,-0.000698858,0.97220061,0.978659764
ANKRD29,-0.017176234,0.351436169,0.417878917
FXYD1,0.264013065,5.40E-14,7.13E-13
CD163,-0.091135744,0.000388718,0.00089981
GPR162,0.022843779,0.142923653,0.191381432
EIF2S1,0.009716415,0.258902389,0.320979902
KIFC2,0.004308953,0.815165191,0.850370531
PPIL2,-0.048687743,2.15E-05,6.31E-05
CDKL2,0.065370956,5.90E-05,0.000159391
SNRK,0.05903729,2.74E-07,1.14E-06
PREP,-0.021954909,0.014952284,0.025121444
SPC25,-0.011693614,0.431440557,0.497395155
ASB13,-0.011533047,0.251225529,0.312936633
TSG101,0.06802699,3.64E-08,1.82E-07
NMRK1,0.043777372,0.069192896,0.099386521
MED6,0.02509338,0.061950522,0.089956564
DHRS7B,0.028684928,0.075008709,0.107032975
BRD8,-0.047756495,2.04E-07,8.72E-07
PLCG2,0.053739691,0.00668991,0.012221246
FTL,0.085241479,0.000213473,0.000517888
FAU,0.237708075,5.97E-17,1.31E-15
VMP1,0.010242107,0.41315894,0.478636399
TSEN54,-0.017147786,0.145656723,0.194728239
MDK,0.076906204,0.005404308,0.010063888
PPP1R15A,0.085038463,2.34E-09,1.40E-08
TOMM70,-0.005422729,0.529949067,0.59106521
SUCLG1,0.110280785,1.37E-15,2.44E-14
PML,-0.035156335,0.000549668,0.001233546
IDI1,0.059038027,4.91E-06,1.63E-05
ATP5PO,0.173956633,1.81E-10,1.32E-09
ZNF443,0.023892728,0.170791215,0.223834625
CAPN15,-0.090179555,4.71E-12,4.42E-11
SMTN,0.103134658,2.68E-14,3.71E-13
BDH1,0.05248336,0.00032013,0.000754313
ZNF384,-0.166402102,1.19E-11,1.04E-10
AC092718.4,0.051958703,0.080880527,0.114854483
ZNF790,-0.023588526,0.04806456,0.071482094
SPIDR,-0.032055847,0.000897126,0.001943515
TPI1P1,0.051009225,0.00027037,0.000646818
LINC02208,-0.015505204,0.577806063,0.635650234
PTBP3,-0.007984504,0.55175459,0.611023909
GIMAP8,-0.12943828,3.37E-15,5.51E-14
TNK1,0.131831551,1.04E-17,2.46E-16
PTPN20,0.013960302,0.550498922,0.610038699
TMEM135,0.000787945,0.954458438,0.965074255
ACTN1,-0.06514775,7.87E-08,3.63E-07
AC009061.2,0.019873605,0.385218467,0.451694036
ACTR6,0.067011491,2.55E-05,7.39E-05
ZNF420,0.048920091,0.000756455,0.00165962
CEP131,0.009126935,0.63138569,0.685680331
PWWP3A,-0.058406174,2.20E-07,9.31E-07
MLYCD,0.069622705,4.73E-09,2.70E-08
SYS1,0.026124703,0.001725021,0.003540684
ST3GAL6-AS1,0.027077318,0.145832526,0.194807008
NCAPH,-0.11523048,6.99E-23,3.36E-21
SMARCD1,-0.074710087,1.09E-12,1.13E-11
RIC3,-0.017457273,0.355692896,0.422137308
CX3CL1,-0.065964687,0.000460697,0.001049423
SDHB,0.114421267,4.59E-20,1.51E-18
DAPK3,0.059009206,0.001392221,0.002923606
GAPDHP1,0.01400874,0.429203472,0.495158598
FAM50B,0.042942582,0.000217569,0.000527056
CRLS1,0.10047602,4.36E-07,1.75E-06
CCNL2,-0.048958798,0.000364558,0.000846629
AC124852.1,-0.060653215,0.000338095,0.000792163
CHCHD1,0.140225711,3.85E-13,4.33E-12
MIR4453HG,-0.070996592,2.15E-06,7.55E-06
TRAF6,0.02619628,0.003188924,0.006242999
PID1,0.073301278,2.76E-06,9.53E-06
TMEM119,0.103822903,1.98E-09,1.20E-08
SSRP1,-0.079798927,4.17E-17,9.39E-16
CACNA2D2,-0.130977104,6.10E-15,9.38E-14
TBCA,0.081042828,5.12E-05,0.000139569
RPL26L1,0.12227066,3.65E-10,2.54E-09
RAB30-DT,0.0422529,0.011098635,0.019275157
UCKL1,-0.006345502,0.630200142,0.685000154
TRIM9,-0.069854191,0.010545126,0.018409788
PRPSAP1,0.016518393,0.069293203,0.099502015
ZWINT,-0.04706334,1.64E-07,7.16E-07
MGAT1,0.04989502,6.89E-08,3.24E-07
CYBRD1,0.053741025,0.001607606,0.003324248
MECP2,-0.06037602,7.30E-10,4.78E-09
DOK6,0.009992954,0.574807837,0.632908872
GTF2F2,0.061076271,5.30E-09,2.99E-08
ACSL5,0.026669692,0.124255413,0.169100997
FOXJ3,-0.006249928,0.497977834,0.560281091
SPATA25,-0.094294872,3.84E-05,0.000107803
DOK7,0.121794154,1.92E-12,1.93E-11
AC108047.1,-0.026353248,0.167617174,0.220259098
RTKN,-0.053005968,2.08E-06,7.35E-06
SRGN,0.162638073,2.31E-10,1.65E-09
B3GNT5,-0.123521095,2.86E-09,1.69E-08
HERC5,0.134361383,7.38E-16,1.40E-14
LPCAT4,0.059037993,3.35E-06,1.14E-05
ZNF511,0.127365481,7.24E-07,2.77E-06
CTDNEP1,0.04642088,0.00122634,0.002604801
SLC11A2,-0.076476205,1.02E-12,1.07E-11
EMC2,0.054219274,9.02E-08,4.12E-07
PAG1,0.061540089,9.48E-05,0.000247253
MYH14,0.217025552,4.74E-15,7.48E-14
SEC24C,-0.181022039,1.63E-08,8.63E-08
PYGO2,-0.026238721,0.004947373,0.009285611
ALG2,0.003539121,0.674747022,0.725690495
PTPRD-AS1,-0.1320927,4.45E-08,2.17E-07
SNHG19,0.113816426,0.000132622,0.000335074
RCAN2,0.01700291,0.214962272,0.273558504
ACIN1,-0.063966811,3.06E-10,2.16E-09
ZNF677,-0.034000189,0.001252702,0.002655155
TRAM2,-0.077797626,1.26E-10,9.34E-10
PDE1A,0.108872307,8.97E-08,4.11E-07
PHF1,0.024725708,0.019172065,0.031337145
ZNF81,0.047773301,0.074872105,0.106868549
CCSAP,-0.028947895,0.014127695,0.023880953
SNX30,0.016179228,0.183318137,0.237951892
EPB41L2,-0.035052766,0.001873645,0.003823765
MCM9,-0.06089027,7.25E-05,0.000192888
MTMR1,-0.047809317,0.000564658,0.001263217
SPC24,0.009673899,0.6392693,0.692367142
SPAG16,0.069688166,1.41E-10,1.04E-09
TENT4B,0.040296856,0.00634635,0.011666085
AIFM2,0.026203773,0.02851582,0.044653649
EIF2B1,-0.007666687,0.143103049,0.191570347
RTN4,-0.006625607,0.528509447,0.590117739
DTX3,0.021162724,0.091695939,0.128822617
TIGD1,-0.001360668,0.923108402,0.938881613
CTBS,-0.039776399,0.047599805,0.070854131
CDC25C,-0.030362743,0.026646955,0.042016642
AC006141.1,0.222434549,0.000382014,0.000884702
CALR,-0.001621625,0.857633845,0.886168469
TCF15,0.322938544,4.57E-28,3.74E-26
LONRF2,0.173204721,2.08E-05,6.14E-05
MAVS,0.013450963,0.443040596,0.508307246
RXRA,-0.030126073,0.002291831,0.004620627
MAP1LC3B,0.06756737,5.96E-18,1.45E-16
MMP23B,0.151220319,1.28E-10,9.47E-10
TNNT2,-0.045629036,0.033021426,0.051053534
KCNJ5,-0.00807944,0.577796523,0.635650234
ZNF827,-0.013282412,0.464000582,0.527993379
FUOM,0.056186331,0.103674966,0.143873114
METTL8,-0.026818093,0.005767967,0.010697267
PTPN12,-0.00748855,0.509144578,0.57104596
OXLD1,0.090107107,8.92E-06,2.83E-05
ECSIT,0.10844924,6.61E-08,3.12E-07
IQCC,-0.06388856,4.57E-05,0.000125958
VWC2,0.138596377,1.04E-26,7.24E-25
HIC1,0.041832623,0.006435217,0.011807738
ZNF480,-0.072324451,3.92E-05,0.000109774
ARFRP1,0.056581011,0.000251973,0.000605413
RPL9,0.070594284,0.337799501,0.40348722
HMGCR,-0.030475131,0.056195336,0.082373697
GLTP,0.043475214,0.004516085,0.008562922
ECI2,0.08612523,5.62E-11,4.41E-10
CENPV,-0.035846572,0.031032531,0.048277117
B2M,0.146682025,2.58E-21,1.01E-19
GMPS,-0.017118513,0.16800293,0.220592082
CHCHD7,0.042565562,1.11E-07,5.02E-07
SLC22A3,-0.006801681,0.80840717,0.844377658
TIMP1,0.042282377,0.110455786,0.152563241
SNCAIP,-0.154217852,5.83E-31,7.11E-29
BAG6,-0.013817768,0.125580661,0.170486914
CWC22,0.04123127,0.00239906,0.004815457
SH3GLB2,0.053200163,7.09E-06,2.29E-05
CAMSAP2,0.025989186,0.057034714,0.083481724
EPHA3,-0.011756472,0.59942477,0.656919407
EPB41L4A-AS1,0.060603208,0.001050533,0.002258239
WDR4,-0.078309664,4.40E-08,2.15E-07
RGMB,0.080376826,3.30E-12,3.21E-11
KLF5,0.129681601,3.41E-19,1.01E-17
ALDH4A1,-0.008172895,0.401424446,0.467098495
ODF2L,0.00071855,0.952882809,0.96367598
SHTN1,-0.09947153,1.57E-10,1.16E-09
SNAP29,-0.030513116,0.000785246,0.00171751
SCD,-0.211708503,5.45E-24,3.00E-22
PAXIP1-AS1,-0.002589523,0.828848326,0.862159265
MKNK2,0.008179351,0.333355157,0.399419072
ABCA8,0.007908214,0.646534394,0.69910726
NUP98,-0.060552896,7.80E-07,2.96E-06
CIAO2B,0.098091425,3.66E-06,1.24E-05
TMC8,-0.05569727,0.003621708,0.007007949
KIF13B,-0.042448658,0.02869703,0.04492334
KMT5C,0.018421659,0.16788617,0.220554611
CNTNAP1,-0.10597473,6.04E-07,2.35E-06
SLC46A1,-0.025664494,0.147072309,0.196358222
RBFOX1,0.050534541,0.000295443,0.000700433
STK19,0.020369287,0.119805187,0.163668288
VPS53,-0.040414691,0.00015727,0.000391999
TTC14,0.020706415,0.068069877,0.097970462
FAM174A,0.105770452,4.74E-17,1.06E-15
SAE1,-0.020131441,0.022193212,0.035646019
CFAP298,0.049866412,0.000735615,0.001616736
GK5,-0.006676773,0.638033016,0.69155974
QRSL1,-0.008126849,0.479628241,0.542565884
ZNF37BP,-0.071044685,1.41E-07,6.26E-07
CENPB,0.074528246,5.06E-07,2.00E-06
TBC1D30,0.004094039,0.817195421,0.852132868
STIM2,-0.022869602,0.007689875,0.013856762
TIGAR,-0.085712608,2.22E-06,7.77E-06
FBL,0.039655576,0.050631848,0.07485489
DESI1,-0.03913195,4.16E-08,2.05E-07
IARS,-0.082569166,2.63E-10,1.86E-09
RELB,0.112737987,1.77E-06,6.32E-06
TMEM62,0.022551785,0.036958062,0.056459001
TAGLN2,0.036096761,0.013254501,0.022580069
TRNT1,-0.027170807,0.063892806,0.092464263
PIGO,-0.0985393,1.19E-10,8.88E-10
TUBA1C,-0.055194973,0.001567311,0.003249739
ISYNA1,-0.088273359,5.38E-07,2.11E-06
BLMH,-0.058485425,1.27E-19,3.88E-18
PHC2,0.084251673,3.46E-13,3.93E-12
PSMD5,-0.034912878,3.61E-07,1.47E-06
CDKN3,0.108419312,4.52E-12,4.26E-11
ANGPT2,0.051288658,0.000497687,0.001125207
PRKCE,-0.008636629,0.546418421,0.606054149
MLIP,0.089656534,1.20E-14,1.78E-13
LYPLA2,0.031135581,0.062164633,0.090224431
SRP72,0.018594826,0.274485141,0.3376201
NIPAL1,-0.087879253,1.17E-07,5.22E-07
ING4,0.067525412,3.56E-12,3.43E-11
TMED4,0.001580879,0.788711858,0.827435856
METTL22,-0.023062448,0.055866047,0.081915026
IGFBP5,-0.026253064,0.064215876,0.092878038
TSPO,0.349455694,4.09E-29,3.72E-27
CYTH1,-0.008651806,0.450681413,0.515440416
ODF2,-0.079414368,9.59E-21,3.55E-19
TMEM259,0.009880997,0.455871667,0.520163928
CCDC28A,0.092903362,9.43E-13,9.95E-12
AC011346.1,0.201983908,3.21E-20,1.09E-18
EXOC6B,0.00238891,0.871730849,0.897581187
CLDN15,-0.051966369,0.007632032,0.013766291
SBDSP1,-0.046157873,0.003815152,0.007334011
AC008555.7,0.01980589,0.279110338,0.341963169
VDAC3,0.081769591,4.20E-16,8.27E-15
AC024075.2,0.019446153,0.17855529,0.232691455
ZNF468,-0.070433966,0.000202453,0.000495236
ZNF282,-0.005664459,0.527340671,0.589075817
Z95115.1,-0.033666511,0.048002114,0.071410463
NOP9,-0.067523934,6.38E-05,0.000171591
PAQR7,-0.06254942,2.24E-05,6.53E-05
KBTBD8,-0.041678657,0.083719855,0.118415636
PAWR,-0.018859193,0.07110289,0.101954245
CYP1B1,-0.037830827,0.211736141,0.270071609
CUL1,-0.021116199,0.006191275,0.011412234
EML3,-0.035295637,0.025675557,0.040600186
SRP14-AS1,0.052401194,0.000281292,0.000670702
RECQL4,-0.079928388,7.37E-08,3.44E-07
TFDP1,-0.051706508,6.82E-06,2.21E-05
GPN3,0.066108761,2.20E-08,1.14E-07
ARPP19,-0.015387835,0.055574272,0.081535024
TRIAP1,0.057555878,4.41E-05,0.000122166
CBX8,0.004171979,0.726519857,0.772379591
S1PR3,0.011329679,0.436258996,0.502024161
POP4,0.061990895,7.46E-10,4.88E-09
DNAJC17,0.02288716,0.210690052,0.268874492
TM7SF3,-0.068120926,6.21E-07,2.41E-06
ZBED5-AS1,0.121679663,3.37E-13,3.84E-12
THEMIS2,0.03691358,0.110855573,0.153030885
MB21D2,0.080276631,2.71E-13,3.15E-12
DBI,0.23742777,2.70E-29,2.59E-27
PLEKHA6,-0.081675571,6.23E-08,2.96E-07
ZNF12,0.037469925,0.019343145,0.031578092
GLRX2,0.089344058,1.60E-13,1.94E-12
KCNH3,0.063211821,9.19E-05,0.000240566
TNFRSF11A,0.045268265,0.045735943,0.068282984
AC129492.1,0.085469987,2.02E-07,8.64E-07
ARFGAP1,-0.01401866,0.231673268,0.291119965
MSRB2,0.146989838,3.70E-10,2.57E-09
PDP1,0.012900925,0.409765915,0.475808077
FAM53C,-0.068814706,3.44E-06,1.17E-05
NAP1L3,-0.009147595,0.527142532,0.58898607
RAMAC,0.010477454,0.489231964,0.55155802
DUS4L,0.014633804,0.120318505,0.164234924
ATP7A,-0.005147473,0.73099726,0.776335238
CACNB1,-0.065349145,5.25E-09,2.97E-08
RAD1,0.068183451,2.36E-13,2.77E-12
ASXL3,-0.010606713,0.435539834,0.501311964
CRELD1,0.028292156,0.015227053,0.025540177
SPTBN5,-0.052553429,0.093658524,0.131211157
NRXN2,-0.014228586,0.545493101,0.605296383
KDM7A-DT,-0.008855261,0.538054297,0.598440784
HSD17B4,0.021489553,0.03916873,0.059526946
NIPA2,-0.093601727,1.77E-08,9.30E-08
MBP,0.087025329,9.77E-06,3.07E-05
KHDC4,-0.015639981,0.032721215,0.050652036
TMEM223,0.090587623,3.26E-08,1.64E-07
SHCBP1,-0.049655242,3.62E-06,1.22E-05
WAPL,-0.017042226,0.18136838,0.235543351
SCAPER,0.100594487,1.69E-06,6.04E-06
TESK2,-0.049410715,0.00687204,0.012517376
DAXX,-0.019573165,0.252304564,0.314202445
TUG1,-0.003739532,0.745047738,0.789580053
FBXL6,-0.007876485,0.628845067,0.683675872
AC092919.2,0.019720347,0.173551265,0.227220824
TMEM44-AS1,0.018938246,0.243538839,0.304652038
MT-ATP6,0.100671111,0.000124551,0.000316923
VPS52,-0.089371504,3.41E-05,9.65E-05
TTYH3,-0.138028004,2.06E-28,1.75E-26
IGSF6,0.194732095,2.48E-07,1.03E-06
CLASRP,-0.001801445,0.907510071,0.927355479
SOCS4,-0.017612095,0.165164541,0.217321765
GCOM1,0.102553889,7.00E-11,5.39E-10
ZKSCAN3,-0.045875328,0.000663335,0.00146561
ETF1,-0.022410569,0.027116546,0.042636078
GTPBP10,0.002449314,0.844926982,0.875935084
ARHGAP26,-0.021634971,0.03348151,0.051700911
PLEKHM3,-0.019997506,0.24734487,0.308795093
CARM1,-0.0846674,1.45E-07,6.41E-07
LGI2,-0.20775771,8.37E-19,2.29E-17
COL8A2,-0.126064838,1.43E-07,6.34E-07
SPOCK2,0.029249666,0.217487044,0.276490012
LRRTM1,0.059473862,0.015863961,0.026484075
GLI4,0.027391347,0.230603574,0.289921517
AC012313.1,-0.073793346,9.14E-05,0.000239273
RCOR2,-0.053542933,2.11E-06,7.43E-06
COX6A1,0.069444719,0.000694248,0.001531203
RPS5,0.159780628,2.11E-09,1.27E-08
SLC35A3,-0.004160754,0.707885867,0.756773431
YWHAQ,-0.084495747,1.78E-08,9.32E-08
SPATA33,-0.021901124,0.161104621,0.212483014
STARD3,0.00410782,0.716597996,0.764942352
CENPM,0.003151243,0.879590628,0.90399859
PTRH2,0.016755107,0.209278281,0.267382956
AMACR,0.026284235,0.284407785,0.347771808
EVA1C,-0.008669962,0.659238194,0.710539118
PIN1,0.078362896,1.37E-05,4.15E-05
ZNF346,-0.062935486,2.61E-07,1.09E-06
CEP135,-0.093853464,1.05E-15,1.92E-14
FLT1,-0.065264155,0.000299851,0.000710211
KIF3A,0.027498943,0.041444363,0.06269949
PLEKHG2,-0.149024187,1.15E-24,6.63E-23
BOC,-0.192357309,8.99E-19,2.44E-17
SOD3,0.172135651,3.18E-07,1.30E-06
AGAP1,-0.038765254,0.012520443,0.021475888
C11orf74,0.121392925,2.43E-10,1.74E-09
AC073869.1,-0.012535478,0.562008991,0.620730054
CCDC127,0.001055757,0.915331469,0.933630629
MYOG,0.036708843,0.147594236,0.197002451
FUT10,-0.040701516,0.003193881,0.006247811
COASY,-0.000188483,0.98456849,0.988324122
RNASEH1-AS1,-0.037580881,0.050230505,0.074327472
PDE8B,0.029090537,0.118709428,0.162260016
BASP1,-0.135385863,8.92E-13,9.44E-12
NET1,-0.088297359,2.96E-25,1.74E-23
COX17,0.153936239,3.57E-12,3.43E-11
TMEM164,-0.010113462,0.403657392,0.469259931
PVR,-0.081361538,5.12E-08,2.47E-07
NDUFAF5,0.073761815,1.12E-09,7.10E-09
CYP2R1,0.029219246,0.001141203,0.002438469
DCTN2,0.040586174,2.77E-07,1.15E-06
PPP6C,0.045388919,1.26E-08,6.77E-08
FUT11,0.068872624,2.09E-05,6.16E-05
DMAC2,0.05984683,3.05E-08,1.54E-07
CCDC69,-0.034015379,0.002121212,0.004290477
UEVLD,-0.014363264,0.147875068,0.197271969
CSK,-0.025261546,0.076840485,0.109521786
NRL,0.080082676,1.25E-05,3.84E-05
UQCR11,0.185544922,3.05E-11,2.50E-10
AC114488.2,0.021837168,0.500283619,0.562622153
IP6K1,-0.055954253,2.14E-07,9.10E-07
LOX,0.02876455,0.169325354,0.222119163
MRGPRF,0.024067171,0.186297171,0.241192609
BRMS1L,0.005448514,0.665328897,0.716640346
AC005332.6,0.054860665,3.89E-09,2.26E-08
C11orf49,0.012447929,0.371892977,0.438638926
MAP3K13,0.021781682,0.191600021,0.247609229
AC005785.1,0.011862026,0.631149358,0.685680331
PPP1R12B,0.023404105,0.240327954,0.30116285
NAA10,0.076413353,0.006978765,0.012679442
MAGED1,-0.026715264,0.005506549,0.010239028
SELENOH,0.075309704,1.04E-06,3.85E-06
SERPINH1,0.026897251,0.001526937,0.003173892
ACP2,-0.039122668,2.73E-05,7.87E-05
SDC3,-0.106337049,1.18E-16,2.47E-15
ANKHD1,0.092710716,0.000284249,0.000676783
AL645568.1,0.104415002,0.004102802,0.007841746
EVI5L,0.029103715,0.011535329,0.019915968
BAMBI,-0.065406732,8.53E-11,6.46E-10
MEDAG,-0.114025101,1.44E-07,6.39E-07
PPM1L,0.131377528,7.88E-15,1.20E-13
SULT1C4,0.011382596,0.334363257,0.400243305
ZBTB48,0.040746416,0.009314778,0.016463022
TMEM107,0.03925704,0.000198767,0.000487173
ZFAND4,0.00980837,0.442640402,0.507964657
C1orf131,0.015567157,0.179894271,0.234176348
WDR26,-0.003222042,0.793554826,0.831992898
CNN3,-0.039023453,0.002452689,0.004895587
GCNA,-0.00548103,0.763177778,0.805379672
AC048341.2,0.089580348,0.000185952,0.000457334
ACAD9,-0.03312431,0.007240762,0.013103081
PARS2,-0.037589269,0.000905078,0.001959891
RPL34,0.192784264,1.43E-11,1.24E-10
HSDL1,0.044072205,5.59E-05,0.000151512
FANCA,-0.13822362,5.79E-13,6.33E-12
HMGN3-AS1,0.038894392,0.001456214,0.003042653
PTPA,0.06439852,4.97E-06,1.64E-05
MT-ATP8,-0.005408377,0.726559471,0.772379591
AC009120.1,0.093561933,0.002352868,0.004732236
GPATCH8,-0.057527858,1.54E-06,5.56E-06
GPER1,0.099573306,3.49E-09,2.04E-08
FOXO3,0.049906676,0.000261854,0.000627646
H1F0,0.028479282,0.009269659,0.016394869
R3HDM1,-0.06948601,7.19E-20,2.30E-18
PEX11G,0.139555893,5.55E-07,2.18E-06
SNW1,0.011838588,0.227319269,0.286585059
SAP18,0.048300091,9.92E-07,3.70E-06
WIPF2,-0.012171255,0.411607951,0.477340216
FHOD1,-0.040602186,0.004297407,0.008176192
ABRAXAS2,-0.000302123,0.96702011,0.975408624
MGST3,0.16981963,6.34E-21,2.40E-19
SIDT2,-0.080351691,1.06E-16,2.24E-15
COLGALT2,-0.062863855,0.000397757,0.000918608
AP1AR,-0.000226801,0.990460934,0.992445826
DNALI1,-0.041262718,0.011500565,0.019862806
LARS,-0.015055999,0.05579622,0.081836638
ATG2B,0.015328001,0.275056187,0.338121273
C1orf21,0.050063509,3.08E-06,1.06E-05
TRAF7,-0.065742299,2.21E-10,1.59E-09
CCDC77,-0.024019483,0.003786431,0.007290009
PLEKHM2,0.019289345,0.0407523,0.06170851
ABCF2,-0.057321935,9.11E-11,6.85E-10
NABP1,-0.077256512,1.02E-08,5.54E-08
RHBDF2,-0.017073004,0.326872234,0.392497879
ELOVL1,0.02166326,0.016627614,0.027593119
DROSHA,-0.062207231,2.28E-15,3.86E-14
SBNO1,0.037197347,0.000748242,0.001642323
OSGEP,-0.020379311,0.126152333,0.171216522
UBA5,0.001078971,0.92095623,0.938215213
AC241952.1,0.002635481,0.93421861,0.948445289
CDCA7L,-0.126416104,2.14E-07,9.10E-07
LRIF1,0.045539373,0.000908531,0.001966517
AC004233.2,-0.054275565,0.057051862,0.083482385
RHOB,0.076667685,1.09E-09,6.91E-09
INTS9,-0.00957368,0.328580025,0.394264489
PKN2,-0.001683713,0.921702625,0.938215213
AUH,0.044147624,1.09E-06,4.02E-06
ANPEP,-0.095391586,8.78E-07,3.30E-06
GSTO2,-0.07363615,0.027334438,0.042965165
WASHC5,-0.033244351,0.015522216,0.025982952
IER3IP1,0.081774501,9.45E-12,8.45E-11
GSDME,0.065419993,4.29E-07,1.72E-06
CCDC40,-0.117661135,3.63E-08,1.82E-07
CRYGS,0.019223268,0.26842943,0.331230788
LARP1B,0.055125985,0.000170923,0.000423183
TMEM45A,-0.037730364,0.005321335,0.00992416
MTFMT,0.009563247,0.262106234,0.324388904
KPNA1,-0.001329064,0.874119417,0.899207879
PURA,0.097054157,1.07E-06,3.97E-06
EPHB2,-0.119700821,5.30E-09,2.99E-08
ZNF582,-0.035022924,0.018817476,0.030806155
OSBPL3,0.016368685,0.281039578,0.343832298
GRPEL1,0.025036679,0.003895244,0.00747074
RBM7,0.067162477,5.69E-07,2.22E-06
TMEM70,0.031465678,0.005112837,0.009571017
PCDHB13,-0.015568407,0.346761649,0.4131794
AL121603.2,0.058531904,0.000429513,0.000983317
LRR1,0.006356687,0.616456967,0.672547422
AGAP3,-0.015170774,0.174567645,0.228312379
TARSL2,0.027256142,0.000323646,0.000761162
NAA16,-0.034621471,0.004490709,0.00852127
TRMT61A,0.037903702,0.012633491,0.021640102
LYVE1,0.003832299,0.8846767,0.9082923
CRAT,0.020745251,0.136581585,0.183775006
NVL,-0.039739305,4.70E-07,1.87E-06
NKX3-1,-0.060819195,1.67E-07,7.29E-07
AC092164.1,0.072920775,0.001267203,0.002683615
ARMCX5,0.045428178,0.000525328,0.001184772
NYAP1,-0.104486598,5.25E-07,2.07E-06
WDR37,-0.06195691,1.53E-06,5.54E-06
MTMR11,-0.164196772,9.70E-35,1.67E-32
RPS23P8,0.160321589,3.30E-13,3.77E-12
HIST2H2BC,-0.052963562,0.101026305,0.140665978
SCAF8,-0.059149674,9.09E-05,0.000238379
AC009779.2,0.037072017,0.000334,0.000783668
FGFR3,-0.268032504,4.11E-32,5.56E-30
BACE1,-0.081460818,1.92E-08,1.00E-07
DUSP18,-0.029645434,0.22088855,0.280111034
RGS4,0.019849307,0.383204038,0.449769997
MGAT4B,0.050243372,4.97E-06,1.65E-05
NLE1,-0.068547855,1.80E-11,1.52E-10
RNPC3,-0.06252522,0.003679823,0.007103906
ANKRD54,0.015385666,0.313472057,0.378863979
TNK2,-0.07541975,4.77E-06,1.58E-05
OSBPL11,-0.023665145,0.135371025,0.182342437
MAPK10,0.050947441,0.004025911,0.007700672
LINC00957,0.209583124,1.81E-15,3.16E-14
MNS1,0.069714093,0.028087431,0.044051804
TUBGCP6,-0.061335358,9.52E-06,3.00E-05
AC245297.1,0.100570147,0.006421545,0.011791306
DDX60,0.078564507,1.80E-06,6.41E-06
PPP1R10,-0.142701404,5.96E-11,4.66E-10
CD58,0.089031439,7.09E-12,6.49E-11
PTPN23,-0.065103361,3.10E-07,1.27E-06
HIST1H2BJ,0.117689329,1.24E-08,6.67E-08
RRAGB,0.0320086,0.002438179,0.004878309
USP54,-0.007336105,0.635110733,0.688989729
FAM172A,0.019461104,0.124509777,0.169338718
AC109460.2,-0.095916006,0.000219165,0.00053041
TNS1,0.004909058,0.787173177,0.826168322
ZNF740,-0.056540807,2.89E-08,1.47E-07
PEBP1,0.106891133,1.81E-06,6.43E-06
IKBKB,-0.070538734,3.96E-14,5.38E-13
FANCE,-0.055388101,1.30E-10,9.64E-10
PRCC,0.01817306,0.1548524,0.204939651
ZNF718,-0.065215186,0.010876995,0.018949227
TKFC,-0.042393306,0.000353324,0.000822448
MPZL2,-0.024126898,0.316148666,0.381637694
NXT1,0.041836788,0.022322834,0.035819695
STK32C,0.050405291,0.008705213,0.015506257
UBE2D3,0.010959055,0.228941114,0.288246972
CCDC115,0.064543968,1.40E-11,1.22E-10
AATK,-0.024815898,0.231754641,0.291149047
TBC1D17,0.074800981,4.15E-05,0.000115871
RXRG,-0.014423021,0.538098255,0.598440784
ZNF347,-0.037240566,0.000463564,0.001054992
CETP,0.123742902,4.25E-07,1.71E-06
ZBED3,-0.064111405,1.54E-10,1.13E-09
DCP2,0.004319421,0.689786166,0.739955123
TTLL7,0.015544619,0.224386206,0.284033172
AC027031.2,-0.014219464,0.480272347,0.543171621
SERBP1,-0.00062857,0.944770861,0.957020727
