"chr","start","end"
"chr3",172039407,172039691
"chr17",73305125,73305249
"chr20",20393878,20393973
"chr1",149850803,149851163
"chr16",88498285,88498388
"chr1",39475790,39475872
"chr2",207625234,207625562
"chr16",1689266,1689422
"chr8",11642184,11643031
"chrX",153900915,153901041
"chr3",52324030,52324263
"chr5",42631375,42631597
"chr11",59171956,59172197
"chr7",42106163,42106327
"chr2",214587595,214587673
"chr1",75842631,75842717
"chr16",75837873,75837966
"chr12",131928804,131928877
"chr13",29539799,29539922
"chr1",41427628,41427721
"chr3",172606176,172606289
"chr10",65827397,65827682
"chr9",94835682,94835761
"chr20",37289547,37289742
"chr5",108642352,108642556
"chr12",53295414,53295597
"chr6",108711249,108711408
"chr5",153496925,153497049
"chr11",20158720,20158905
"chr6",83666376,83666439
"chr22",41290864,41290938
"chr13",30142958,30143188
"chr4",41935022,41935183
"chr14",60315332,60315400
"chr4",60133592,60133667
"chr11",93773133,93773219
"chr2",31981178,31981298
"chr14",64629123,64629222
"chr13",30559428,30559547
"chr22",46371177,46371243
"chr2",98346610,98346761
"chr10",83786558,83786620
"chr10",103676996,103677354
"chr10",47121522,47121628
"chr7",40200944,40201022
"chr5",138635433,138635495
"chr11",67277658,67277740
"chr15",89828399,89828558
"chr15",56732776,56732875
"chr10",5619462,5619522
"chr3",2098544,2098945
"chr8",136924793,136925049
"chr14",24131829,24131934
"chr2",166539451,166539596
"chr20",52959168,52959255
"chr17",9084155,9084375
"chr9",76666080,76666229
"chr2",43127306,43127371
"chr5",95803643,95803746
"chr1",206351663,206351801
"chr1",233254260,233254324
"chr9",34665307,34665681
"chr4",125116159,125116221
"chr9",128702389,128702579
"chr7",103266066,103266319
"chr16",69385870,69386115
"chr11",100148555,100148658
"chr9",127836349,127836500
"chr8",53996145,53996388
"chr11",117619241,117619297
"chr3",77348333,77348553
"chr3",134146385,134146631
"chr18",62779064,62779201
"chr3",69665057,69665326
"chr2",199659266,199659451
"chr6",138499453,138499514
"chr8",92628351,92628540
"chr17",16653538,16654014
"chr14",78969546,78969808
"chr5",39014643,39014849
"chr1",56803711,56803825
"chr9",102779443,102779525
"chr5",79956393,79956537
"chr1",219413540,219413834
"chr8",22598146,22598277
"chr10",27525992,27526097
"chr22",42582093,42582264
"chr6",706262,706339
"chr4",145170290,145170543
"chr6",165662473,165662585
"chr17",29640627,29640707
"chr6",74574968,74575056
"chr2",74043395,74043635
"chr10",60604548,60604629
"chr13",76684517,76684620
"chr6",26026292,26026561
"chr4",56668449,56668570
"chr1",223748425,223748570
"chr16",27109730,27109925
"chr8",37859791,37860228
"chr16",84277335,84277487
"chr1",218809793,218809926
"chr15",68614615,68614796
"chr1",31170633,31171087
"chr6",35035078,35035154
"chr12",3073495,3073634
"chr17",4587880,4588207
"chr22",21865345,21865406
"chr12",5451375,5451520
"chr17",954700,955082
"chr2",54524761,54524898
"chr11",113375520,113375857
"chr7",31743856,31743984
"chr2",231780212,231780319
"chr2",119257296,119257466
"chr6",15457987,15458060
"chr4",151313469,151313528
"chr17",60231291,60231365
"chr1",65309814,65310329
"chr18",36296694,36296872
"chr18",8704926,8705282
"chr2",15646124,15646353
"chr2",85998884,85998960
"chr16",57534210,57534286
"chr6",44477380,44477527
"chr9",8961421,8961504
"chr1",61082480,61082590
"chr20",9119968,9120108
"chr5",110816048,110816161
"chr14",44803342,44803518
"chr8",133297986,133298136
"chr3",126621313,126621535
"chr12",45431342,45431430
"chr5",75320929,75321217
"chr11",121249343,121249423
"chr20",9067664,9067937
"chr13",75538083,75538305
"chr12",89337251,89337316
"chr6",73340169,73340337
"chr2",41705713,41705834
"chr7",32892024,32892299
"chr11",121482517,121482605
"chr7",47327861,47327936
"chr15",45049198,45049279
"chrX",9911719,9911836
"chr12",14554264,14554710
"chr15",75347290,75347355
"chr1",959220,959406
"chr13",104782840,104783059
"chr12",131104756,131104935
"chr3",178744831,178744945
"chr6",35727718,35727815
"chr2",109760437,109760513
"chr2",65056140,65056529
"chr2",95207172,95207603
